query,answer,response,nli_result,confidence
,The Jumanji series.,,neutral,"[0.22092564404010773, 0.4549669623374939, 0.32410740852355957]"
,Dwayne Johnson.,,entailment,"[0.07641900330781937, 0.3652181029319763, 0.5583629608154297]"
,They must recover a magical necklace called the Falcon Jewel to end a drought in Jumanji.,,neutral,"[0.038025546818971634, 0.6266834735870361, 0.3352910578250885]"
,"It forces them to switch avatars, revealing different aspects of themselves.",,neutral,"[0.004355032928287983, 0.6487569808959961, 0.3468879461288452]"
,It continues the adventures of the original group while introducing new characters and deeper backstories that expand the game's mythology.,,neutral,"[0.010913760401308537, 0.7105798125267029, 0.27850645780563354]"
,Bryan Stevenson.,,contradiction,"[0.3866652846336365, 0.31980788707733154, 0.29352685809135437]"
,Jamie Foxx.,,entailment,"[0.1274830549955368, 0.4197581708431244, 0.4527587890625]"
,The legal defense of wrongfully convicted African Americans on death row.,,entailment,"[0.04171658679842949, 0.38201549649238586, 0.5762678384780884]"
,Systemic racism and wrongful convictions in the American legal system.,,neutral,"[0.030809922143816948, 0.5069384574890137, 0.46225154399871826]"
,"By showing intense courtroom battles, public indifference, and bureaucratic obstacles.",,neutral,"[0.11581545323133469, 0.7298787832260132, 0.15430575609207153]"
,"It interweaves the personal tragedies of its characters with systemic failures, urging empathy and reform.",,neutral,"[0.023882433772087097, 0.8742165565490723, 0.10190097987651825]"
,It follows a support group for assassins.,,neutral,"[0.041344884783029556, 0.795625627040863, 0.1630294919013977]"
,Martin Owen.,,neutral,"[0.21786557137966156, 0.4266171157360077, 0.35551735758781433]"
,Jessica Alba.,,entailment,"[0.12432155013084412, 0.429267019033432, 0.4464114308357239]"
,In a church hall in London.,,neutral,"[0.038945119827985764, 0.7084811925888062, 0.2525736391544342]"
,It is manipulated by government agencies—the CIA initially and later the Russians.,,neutral,"[0.013157549314200878, 0.7381723523139954, 0.2486700862646103]"
,"It contrasts the personal remorse of the killers with the external chaos of political intrigue and law enforcement, questioning the nature of justice.",,neutral,"[0.021971050649881363, 0.7179195880889893, 0.26010939478874207]"
,Sergio Pablos.,,contradiction,"[0.37567755579948425, 0.35451456904411316, 0.2698078155517578]"
,Netflix.,,entailment,"[0.06487081199884415, 0.43202823400497437, 0.5031009316444397]"
,"A postman befriends a reclusive toymaker, transforming a feuding town through the magic of gift-giving.",,neutral,"[0.045878197997808456, 0.6165570020675659, 0.3375647962093353]"
,It presents an alternate origin story where kindness and community transform a bitter town into a place of generosity.,,neutral,"[0.02542426995933056, 0.762423038482666, 0.21215273439884186]"
,"Redemption, the power of kindness, and the impact of community on overcoming old feuds.",,neutral,"[0.10985348373651505, 0.560077965259552, 0.3300686180591583]"
,"It used organic lighting and hand-crafted texturing to overcome standard CGI limitations, creating a visually distinctive, traditional look.",,neutral,"[0.021252715960144997, 0.8226503729820251, 0.15609686076641083]"
,The classic animated film 'Lady and the Tramp'.,,neutral,"[0.06274669617414474, 0.4728085398674011, 0.46444475650787354]"
,Walt Disney Pictures/Disney+.,,entailment,"[0.07299009710550308, 0.366349995136261, 0.5606598854064941]"
,Tessa Thompson.,,contradiction,"[0.40106576681137085, 0.3420250117778778, 0.2569092810153961]"
,It blends real-life animal performances with CGI to recapture the charm of the original animation.,,neutral,"[0.049205102026462555, 0.7308791279792786, 0.21991576254367828]"
,By incorporating diverse casting and contemporary themes while retaining the heart of the original tale.,,neutral,"[0.02070540189743042, 0.7405673861503601, 0.23872721195220947]"
,"It balances nostalgic elements with modern storytelling, special effects, and cultural representation to appeal to today’s viewers.",,neutral,"[0.017721004784107208, 0.6199399828910828, 0.36233898997306824]"
,Paul Feig.,,neutral,"[0.19611939787864685, 0.4202932119369507, 0.38358739018440247]"
,'Last Christmas' by Wham!.,,entailment,"[0.050250232219696045, 0.42853569984436035, 0.5212140679359436]"
,Emilia Clarke.,,contradiction,"[0.356336385011673, 0.2918258309364319, 0.35183778405189514]"
,"She is recovering from a serious illness and coping with family issues, including her mother's depression.",,neutral,"[0.011236181482672691, 0.7458959221839905, 0.24286791682243347]"
,"Kate discovers that Tom, the mysterious man she falls for, was the organ donor for her heart transplant.",,neutral,"[0.0647679790854454, 0.6429504752159119, 0.29228150844573975]"
,"It combines elements of romantic comedy, fantasy, and emotional drama to explore themes of loss, recovery, and supernatural connection.",,neutral,"[0.015092438086867332, 0.7676426768302917, 0.21726490557193756]"
,Emma Thompson.,,contradiction,"[0.474669486284256, 0.2977669835090637, 0.22756357491016388]"
,Mindy Kaling.,,entailment,"[0.08591713756322861, 0.41778361797332764, 0.49629920721054077]"
,"Her show's ratings are falling, putting her job as host at risk.",,neutral,"[0.01008208841085434, 0.7303019762039185, 0.25961586833000183]"
,Molly’s fresh perspective diversifies the team and injects new ideas that revitalize the show.,,neutral,"[0.010885234922170639, 0.7317883372306824, 0.25732651352882385]"
,"The network pressures her to step aside in favor of a younger, more popular host, Daniel Tennant.",,neutral,"[0.03328980132937431, 0.7973917722702026, 0.16931839287281036]"
,It critiques the industry's tendency to favor homogeneous voices and illustrates how embracing diverse perspectives can rejuvenate creative content.,,neutral,"[0.02540688030421734, 0.877357006072998, 0.09723608940839767]"
,A Christmas romantic comedy.,,neutral,"[0.0571293979883194, 0.48641133308410645, 0.4564592242240906]"
,Netflix.,,entailment,"[0.06487081199884415, 0.43202823400497437, 0.5031009316444397]"
,Kiernan Shipka.,,contradiction,"[0.446470707654953, 0.27301231026649475, 0.28051698207855225]"
,"A snowstorm halts their train, leading them to take shelter at a local diner.",,neutral,"[0.025730706751346588, 0.7341305017471313, 0.24013885855674744]"
,"It follows several characters whose lives intersect during a snowy Christmas Eve, each with their own romantic journey.",,neutral,"[0.01611618883907795, 0.8360671401023865, 0.14781662821769714]"
,"It juxtaposes the excitement and uncertainties of young love with the bittersweet realities of growing up, all framed within a festive setting.",,neutral,"[0.00940011441707611, 0.856322169303894, 0.13427779078483582]"
,Casey Affleck.,,entailment,"[0.29402732849121094, 0.30671054124832153, 0.39926210045814514]"
,A father must protect his daughter in a post-apocalyptic world where most females have been wiped out.,,neutral,"[0.01791262999176979, 0.7331852316856384, 0.24890223145484924]"
,In a post-apocalyptic landscape in British Columbia.,,neutral,"[0.03165654465556145, 0.7063843607902527, 0.2619590759277344]"
,"To prevent male bandits from targeting her, as she is one of the few remaining females.",,neutral,"[0.021670978516340256, 0.7892152667045593, 0.18911375105381012]"
,He recalls promising his late wife that he would always protect their daughter.,,neutral,"[0.018662089481949806, 0.6422724723815918, 0.33906546235084534]"
,"It critiques traditional gender roles by highlighting the vulnerability of the remaining women and the extreme measures taken for survival, questioning what normalcy means in a broken society.",,neutral,"[0.023786893114447594, 0.903801679611206, 0.07241152226924896]"
," ""It was directed by Tina Gordon.""",,neutral,"[0.042162999510765076, 0.8528730869293213, 0.10496387630701065]"
," ""A bullied child’s wish using a toy magic wand makes it happen.""",,neutral,"[0.055446065962314606, 0.5386685729026794, 0.4058853089809418]"
," ""It was directed by Greta Gerwig.""",,neutral,"[0.04919061064720154, 0.794983446598053, 0.1558259129524231]"
," ""It is based on Louisa May Alcott’s novel 'Little Women'.""",,neutral,"[0.04094195365905762, 0.7777231335639954, 0.1813349574804306]"
," ""Seth Rogen and Charlize Theron star in the film.""",,neutral,"[0.14891503751277924, 0.6696227788925171, 0.18146216869354248]"
," ""It was directed by Jonathan Levine.""",,neutral,"[0.03242714703083038, 0.8541989922523499, 0.11337392032146454]"
," ""They clash over personal values and political ideals while developing an unexpected romance.""",,neutral,"[0.012775822542607784, 0.86434006690979, 0.1228841245174408]"
," ""He struggles with disillusionment after quitting his job and dealing with a powerful media mogul.""",,neutral,"[0.004536119289696217, 0.9295373558998108, 0.06592649966478348]"
," ""It juxtaposes a quirky romance with sharp critiques of political power and media influence.""",,neutral,"[0.008484980091452599, 0.8130377531051636, 0.17847727239131927]"
," ""It was written and directed by Kevin McMullin.""",,neutral,"[0.024450093507766724, 0.8980578780174255, 0.07749197632074356]"
," ""It is set at the New Jersey shore.""",,neutral,"[0.01300518587231636, 0.9280052781105042, 0.0589895136654377]"
," ""The discovery of a coin treasure.""",,neutral,"[0.04256176948547363, 0.5000721216201782, 0.45736613869667053]"
," ""The coin treasure discovery leads to escalating suspicion and violence among friends.""",,neutral,"[0.06620131433010101, 0.8264978528022766, 0.1073007583618164]"
," ""It uses the coastal setting and the symbol of hidden treasure to mirror the loss of innocence and the onset of complex social dynamics.""",,neutral,"[0.006546842399984598, 0.8458648920059204, 0.14758828282356262]"
," ""It was directed by Noah Hawley.""",,neutral,"[0.0518861822783947, 0.767941951751709, 0.18017183244228363]"
," ""Her extramarital affair and feelings of betrayal intensify her isolation and emotional instability.""",,neutral,"[0.008694705553352833, 0.8080433011054993, 0.18326202034950256]"
," ""Tate Taylor.""",,neutral,"[0.24754881858825684, 0.3863077461719513, 0.3661434054374695]"
," ""Octavia Spencer.""",,contradiction,"[0.44306275248527527, 0.25694888830184937, 0.29998835921287537]"
," ""Psychological horror.""",,entailment,"[0.021313993260264397, 0.4550955891609192, 0.5235903859138489]"
," ""Blumhouse Productions.""",,neutral,"[0.2785768508911133, 0.37488311529159546, 0.34654006361961365]"
," ""Joachim Rønning.""",,contradiction,"[0.34833911061286926, 0.3213941752910614, 0.33026668429374695]"
," ""Angelina Jolie.""",,entailment,"[0.31098854541778564, 0.3051110506057739, 0.38390040397644043]"
," ""Walt Disney Pictures.""",,entailment,"[0.14827683568000793, 0.3815613090991974, 0.4701618552207947]"
," ""Conall and Borra.""",,neutral,"[0.2708200216293335, 0.3937339186668396, 0.3354460299015045]"
," ""Roland Emmerich.""",,neutral,"[0.2919393479824066, 0.3624703586101532, 0.3455902934074402]"
," ""Ed Skrein.""",,contradiction,"[0.5672421455383301, 0.2294866144657135, 0.20327128469944]"
," ""$100 million.""",,neutral,"[0.13480280339717865, 0.5326789617538452, 0.33251824975013733]"
," ""He struggled to secure financial support due to the high costs associated with realistic war sequences.""",,neutral,"[0.004413825459778309, 0.889674723148346, 0.10591145604848862]"
," ""Chris Butler.""",,contradiction,"[0.3517952263355255, 0.332829087972641, 0.31537559628486633]"
," ""Hugh Jackman.""",,entailment,"[0.20999538898468018, 0.3314858078956604, 0.4585188627243042]"
," ""Alejandro Landes.""",,neutral,"[0.3029656410217285, 0.3547166585922241, 0.34231773018836975]"
," ""Julianne Nicholson.""",,entailment,"[0.3267943859100342, 0.3266916573047638, 0.3465140163898468]"
," ""On a remote mountaintop.""",,neutral,"[0.01044720970094204, 0.8214327096939087, 0.16812008619308472]"
," ""They are charged with guarding a hostage referred to as 'Doctora'.""",,neutral,"[0.03063795529305935, 0.7020364999771118, 0.26732558012008667]"
," ""It is based on the 1999 novel 'Motherless Brooklyn' by Jonathan Lethem.""",,neutral,"[0.017223918810486794, 0.9376200437545776, 0.045156072825193405]"
," ""Bruce Willis.""",,contradiction,"[0.35393038392066956, 0.3244236409664154, 0.32164597511291504]"
," ""He is a private investigator.""",,neutral,"[0.011718753725290298, 0.824246883392334, 0.1640343964099884]"
," ""It combines the protagonist’s struggles with Tourette syndrome and personal loss with a critique of urban renewal and systemic corruption in 1950s New York.""",,neutral,"[0.008896257728338242, 0.7866606712341309, 0.2044430524110794]"
," ""Adam Sandler and Jennifer Aniston.""",,contradiction,"[0.3666068911552429, 0.31718671321868896, 0.3162063658237457]"
," ""Kyle Newacheck.""",,contradiction,"[0.5053434371948242, 0.2923777103424072, 0.20227882266044617]"
," ""Comedy mystery.""",,entailment,"[0.11956185102462769, 0.3972558081150055, 0.4831823408603668]"
," ""Katt Shea.""",,contradiction,"[0.43313220143318176, 0.3250073790550232, 0.24186044931411743]"
," ""Sophia Lillis.""",,neutral,"[0.2967684268951416, 0.36291417479515076, 0.34031739830970764]"
," ""The book 'The Hidden Staircase' by Carolyn Keene.""",,neutral,"[0.05831380560994148, 0.572256326675415, 0.3694298267364502]"
," ""She discovers that the 'haunting' at Flora's house is a setup using secret passages and rigged devices.""",,neutral,"[0.010710158385336399, 0.9299052357673645, 0.059384606778621674]"
," ""Through the use of security footage and digital clues that help Nancy track the kidnappers.""",,neutral,"[0.004673158284276724, 0.8886240124702454, 0.10670282691717148]"
," ""Ivan Kavanagh.""",,neutral,"[0.2394350916147232, 0.40587353706359863, 0.35469138622283936]"
," ""Revisionist Western.""",,entailment,"[0.1348622441291809, 0.42228344082832336, 0.44285428524017334]"
," ""Patrick Tate is drawn into a dangerous scheme after being approached by a bounty hunter looking for a missing Bill Crabtree.""",,neutral,"[0.034125812351703644, 0.5940682888031006, 0.37180593609809875]"
," ""Marc Lawrence.""",,contradiction,"[0.4882766306400299, 0.29131656885147095, 0.22040683031082153]"
," ""Walt Disney Pictures/Disney+.""",,entailment,"[0.13116170465946198, 0.36541247367858887, 0.5034258365631104]"
," ""She must find her missing brother—who is next in line to become Santa—before Christmas.""",,neutral,"[0.00500133540481329, 0.8127536177635193, 0.18224501609802246]"
," ""Gavin Hood.""",,contradiction,"[0.3893919289112091, 0.34514498710632324, 0.26546308398246765]"
," ""Katharine Gun faces the moral conflict of breaking the law to expose government wrongdoing.""",,neutral,"[0.015252244658768177, 0.7394182682037354, 0.24532945454120636]"
," ""Quentin Tarantino.""",,entailment,"[0.2665625810623169, 0.3547761142253876, 0.3786613643169403]"
," ""Leonardo DiCaprio.""",,entailment,"[0.2856118083000183, 0.2953549921512604, 0.4190331995487213]"
," ""Columbia Pictures/Heyday Films.""",,entailment,"[0.13320140540599823, 0.43204885721206665, 0.43474966287612915]"
," ""Late 1960s Los Angeles.""",,neutral,"[0.016462532803416252, 0.6275196671485901, 0.35601773858070374]"
," ""Claire McCarthy.""",,entailment,"[0.28348416090011597, 0.35570767521858215, 0.3608081638813019]"
," ""Daisy Ridley.""",,contradiction,"[0.3848869502544403, 0.317453533411026, 0.2976595163345337]"
," ""Hamlet.""",,entailment,"[0.18285755813121796, 0.3403027355670929, 0.47683972120285034]"
," ""It portrays Ophelia as a more assertive and complex figure caught between loyalty to her family and her own desires.""",,neutral,"[0.022303149104118347, 0.8408018946647644, 0.13689492642879486]"
," ""Alex Kendrick.""",,contradiction,"[0.5166573524475098, 0.2998690605163574, 0.1834736466407776]"
," ""Kendrick Brothers Productions.""",,entailment,"[0.18454115092754364, 0.3914634883403778, 0.42399537563323975]"
," ""Danny Boyle.""",,entailment,"[0.28316381573677063, 0.3358306288719177, 0.3810056149959564]"
," ""The Beatles.""",,entailment,"[0.039828527718782425, 0.31684762239456177, 0.6433238983154297]"
," ""By challenging its protagonist to choose between imitating famous music and embracing his own creative voice.""",,neutral,"[0.01957983709871769, 0.8280356526374817, 0.15238453447818756]"
," ""A career-ending injury during a wrestling match coupled with a personal breakup.""",,neutral,"[0.03745623677968979, 0.5285670757293701, 0.4339766800403595]"
," ""His gambling addiction and desperate need to recoup his losses.""",,neutral,"[0.032433729618787766, 0.768695056438446, 0.1988711804151535]"
," ""Kelly Asbury.""",,contradiction,"[0.41097766160964966, 0.31010720133781433, 0.2789151072502136]"
," ""It follows a group of misfit dolls who learn to embrace their uniqueness.""",,neutral,"[0.023471206426620483, 0.7799466252326965, 0.19658221304416656]"
," ""By celebrating imperfection and emphasizing that true beauty lies in individuality and authenticity.""",,neutral,"[0.008643836714327335, 0.72652268409729, 0.2648334801197052]"
," ""By integrating more mature themes and advanced animation techniques to deepen the narrative while retaining its heartwarming essence.""",,neutral,"[0.007457999046891928, 0.9494979977607727, 0.043043993413448334]"
," ""Ericson Core.""",,entailment,"[0.24298660457134247, 0.3713139593601227, 0.38569945096969604]"
," ""Patton Oswalt.""",,contradiction,"[0.3514474034309387, 0.32025012373924255, 0.3283025026321411]"
," ""Universal Pictures and Illumination.""",,neutral,"[0.09842292219400406, 0.47545185685157776, 0.42612531781196594]"
," ""Steven Soderbergh.""",,contradiction,"[0.3967272937297821, 0.3025434911251068, 0.3007292151451111]"
," ""Meryl Streep.""",,entailment,"[0.2977756857872009, 0.34276077151298523, 0.35946348309516907]"
," ""It follows the unraveling of global financial corruption through the lens of a massive money laundering scheme.""",,neutral,"[0.01885065622627735, 0.8862817287445068, 0.09486760199069977]"
," ""By using a diverse cast and satirical narrative to expose the absurdities and injustices within the financial system.""",,neutral,"[0.009280841797590256, 0.9048128128051758, 0.08590635657310486]"
," ""Joe Talbot.""",,contradiction,"[0.46294930577278137, 0.29148241877555847, 0.24556827545166016]"
," ""Jimmie Fails.""",,entailment,"[0.03290780261158943, 0.41198647022247314, 0.5551056861877441]"
," ""San Francisco.""",,neutral,"[0.1349065750837326, 0.45070770382881165, 0.4143856465816498]"
," ""By highlighting the disintegration of community ties and the erosion of cultural landmarks as the city transforms.""",,neutral,"[0.011989164166152477, 0.8614122867584229, 0.1265985518693924]"
,"Melissa McCarthy, Tiffany Haddish, and Elisabeth Moss.",,entailment,"[0.11203555762767792, 0.41106513142585754, 0.47689923644065857]"
,Hell's Kitchen.,,entailment,"[0.06774257123470306, 0.39528778195381165, 0.5369696021080017]"
,The arrest of their husbands by the FBI.,,neutral,"[0.07504016906023026, 0.5071386694908142, 0.41782116889953613]"
,She kills Helen in a rage.,,neutral,"[0.0987146645784378, 0.6336148977279663, 0.2676704227924347]"
,They persuade local businesses to pay them protection money and offer favors.,,neutral,"[0.009225680492818356, 0.9381077289581299, 0.05266660079360008]"
,Kathy and Ruby agree to share leadership of the crime family.,,neutral,"[0.05637378990650177, 0.5345837473869324, 0.40904250741004944]"
,Martin Scorsese.,,entailment,"[0.09794259071350098, 0.39025023579597473, 0.5118071436882019]"
,Robert De Niro and Al Pacino.,,entailment,"[0.1116304099559784, 0.386854350566864, 0.5015152096748352]"
,Netflix.,,entailment,"[0.06487081199884415, 0.43202823400497437, 0.5031009316444397]"
,By reuniting major New York filmmakers and actors in a historical narrative.,,neutral,"[0.027187194675207138, 0.5744816660881042, 0.39833104610443115]"
,"It continues their long-standing artistic partnership, reinforcing their impact on gangster cinema.",,neutral,"[0.024921707808971405, 0.6924683451652527, 0.2826099395751953]"
,"It portrays characters confronting the consequences of a violent past, emphasizing loss and remorse.",,neutral,"[0.004583072382956743, 0.7618262767791748, 0.23359064757823944]"
,Jim Jarmusch.,,contradiction,"[0.36415913701057434, 0.3594602644443512, 0.27638059854507446]"
,Absurdist zombie comedy.,,neutral,"[0.08455445617437363, 0.5165340304374695, 0.3989114761352539]"
,Bill Murray.,,entailment,"[0.1746986210346222, 0.38194456696510315, 0.44335681200027466]"
,It includes metacinematic references and self-aware humor.,,neutral,"[0.005263515282422304, 0.912324070930481, 0.08241236954927444]"
,They combine deadpan humor with unconventional methods to combat the undead.,,neutral,"[0.010661724023520947, 0.7285774946212769, 0.26076075434684753]"
,It subverts traditional horror tropes to comment on societal absurdity and complacency.,,neutral,"[0.032537009567022324, 0.7112472057342529, 0.25621575117111206]"
,Matthew McConaughey.,,entailment,"[0.11294253915548325, 0.38372373580932617, 0.5033337473869324]"
,He is a stoner poet.,,neutral,"[0.025142690166831017, 0.7032589316368103, 0.27159836888313293]"
,The Florida Keys.,,entailment,"[0.03919080272316933, 0.38845324516296387, 0.5723559260368347]"
,Balancing his wild lifestyle with his desire for creative expression.,,neutral,"[0.009868617169559002, 0.5395314693450928, 0.45059990882873535]"
,It juxtaposes Moondog's carefree lifestyle with the consequences of his personal relationships.,,neutral,"[0.0234662014991045, 0.5840376615524292, 0.39249616861343384]"
,It redefines success by celebrating uninhibited creativity and living in the moment over conventional achievement.,,neutral,"[0.03270437940955162, 0.6717978715896606, 0.29549771547317505]"
,Thurop Van Orman and John Rice.,,neutral,"[0.23180963099002838, 0.4351680278778076, 0.3330223262310028]"
,The birds and the pigs.,,entailment,"[0.04884488135576248, 0.368301123380661, 0.5828539729118347]"
,Jason Sudeikis.,,neutral,"[0.18153296411037445, 0.4200804829597473, 0.3983865976333618]"
,A giant ice ball from Eagle Island threatens their homes.,,neutral,"[0.07985973358154297, 0.5195757746696472, 0.4005644619464874]"
,It shows characters overcoming differences to fight a common enemy.,,neutral,"[0.0072303046472370625, 0.6729161143302917, 0.31985360383987427]"
,"Red evolves from a solitary leader to one who values teamwork, learning humility and the strength of collective action.",,neutral,"[0.03434506803750992, 0.6519566178321838, 0.31369829177856445]"
,Linda Hamilton.,,neutral,"[0.31830084323883057, 0.35856732726097107, 0.32313188910484314]"
,Grace.,,entailment,"[0.03397322818636894, 0.28760987520217896, 0.678416907787323]"
,Arnold Schwarzenegger as the T-800.,,entailment,"[0.11646997928619385, 0.4084576964378357, 0.47507229447364807]"
,"It serves as a direct sequel to 'The Terminator' and 'Terminator 2', ignoring later sequels.",,neutral,"[0.08344939351081848, 0.49932578206062317, 0.41722485423088074]"
,By introducing advanced Terminators like the Rev-9 and exploring augmented soldier concepts.,,neutral,"[0.04441662132740021, 0.738105833530426, 0.21747761964797974]"
,"It bridges the legacy of earlier films with new challenges, emphasizing a continuous battle against evolving machine threats.",,neutral,"[0.018987532705068588, 0.8649599552154541, 0.11605259031057358]"
,J. J. Abrams.,,neutral,"[0.3620295524597168, 0.3640512228012085, 0.2739191949367523]"
,The Skywalker saga.,,entailment,"[0.07200542837381363, 0.28879401087760925, 0.6392005085945129]"
,Rey.,,entailment,"[0.2780115306377411, 0.33605366945266724, 0.38593485951423645]"
,Lucasfilm and Bad Robot.,,entailment,"[0.1489865481853485, 0.4094111919403076, 0.4416022300720215]"
,By intertwining legacy characters and new storylines to address themes of redemption and destiny.,,neutral,"[0.015495232306420803, 0.7332736253738403, 0.2512310743331909]"
,It grapples with reconciling nostalgic elements with fresh plot developments while concluding long-standing arcs.,,neutral,"[0.03527228161692619, 0.6044183373451233, 0.3603093922138214]"
,Tom Holland.,,entailment,"[0.189696803689003, 0.4019654393196106, 0.4083377718925476]"
,Columbia Pictures and Marvel Studios.,,entailment,"[0.08360263705253601, 0.4008893668651581, 0.5155079960823059]"
,Zendaya.,,entailment,"[0.27179503440856934, 0.3349175751209259, 0.39328742027282715]"
,His blend of humor and heroism.,,neutral,"[0.01799001358449459, 0.5151246190071106, 0.46688535809516907]"
,"It combines lighthearted humor with high-stakes action, characteristic of the Marvel Cinematic Universe.",,neutral,"[0.022697297856211662, 0.6513273119926453, 0.3259753882884979]"
,"The film portrays his transition from a playful teen to a more seasoned hero, confronting personal loss and global challenges.",,neutral,"[0.009528632275760174, 0.8233095407485962, 0.16716186702251434]"
,Daniel Kaluuya and Jodie Turner-Smith.,,entailment,"[0.10364703834056854, 0.42521464824676514, 0.4711382985115051]"
,They kill a police officer in self-defense during a traffic stop.,,neutral,"[0.16087163984775543, 0.6352168321609497, 0.20391154289245605]"
,Bokeem Woodbine.,,neutral,"[0.31878387928009033, 0.35765376687049866, 0.323562353849411]"
,It reflects on police brutality and societal bias through the couple's journey.,,neutral,"[0.043918490409851074, 0.6547549366950989, 0.30132657289505005]"
,The viral dashcam footage of their encounter.,,neutral,"[0.10260400921106339, 0.6086172461509705, 0.28877875208854675]"
,"The film intertwines personal intimacy with social commentary, showing their love as a form of protest against systemic oppression.",,neutral,"[0.01939750649034977, 0.9068717360496521, 0.07373077422380447]"
,A group of women in a retirement community start a cheerleading squad.,,entailment,"[0.024720236659049988, 0.44415047764778137, 0.5311293005943298]"
,Diane Keaton.,,entailment,"[0.16294705867767334, 0.3909217417240143, 0.44613125920295715]"
,They want to break free from stereotypes and prove they still have spirit.,,neutral,"[0.019904738292098045, 0.8796032071113586, 0.1004919484257698]"
,It portrays older women embracing physical challenges and reclaiming their confidence.,,neutral,"[0.010052747093141079, 0.6250655651092529, 0.3648816645145416]"
,She is a former cheerleader who inspires the group.,,neutral,"[0.006702460814267397, 0.8866168856620789, 0.10668066143989563]"
,"The film blends witty dialogue with unconventional cheer routines to subvert traditional views on aging, celebrating vitality and camaraderie.",,neutral,"[0.027415813878178596, 0.7924461960792542, 0.1801380068063736]"
,We Summon the Darkness,,entailment,"[0.09580448269844055, 0.4263122081756592, 0.4778832793235779]"
,We Summon the Darkness,,entailment,"[0.09580448269844055, 0.4263122081756592, 0.4778832793235779]"
,Marc Meyers,,neutral,"[0.19529874622821808, 0.5018053650856018, 0.30289584398269653]"
,Alexandra Daddario,,neutral,"[0.16910292208194733, 0.4567278325557709, 0.3741692304611206]"
,A milkshake is thrown from a blue van onto their windshield,,neutral,"[0.0723361000418663, 0.5924288034439087, 0.335235059261322]"
,They plan to murder the boys and stage it as a Satanic cult killing,,neutral,"[0.01285876426845789, 0.8108134865760803, 0.17632773518562317]"
,Bev intervenes by helping Mark and Kovacs and ultimately stops Alexis by running her over.,,neutral,"[0.06716697663068771, 0.7903807163238525, 0.14245229959487915]"
,Wild Mountain Thyme,,entailment,"[0.07619960606098175, 0.37798330187797546, 0.5458170771598816]"
,John Patrick Shanley,,neutral,"[0.2112821638584137, 0.4298875033855438, 0.3588303327560425]"
,Emily Blunt and Jamie Dornan,,entailment,"[0.09090246260166168, 0.405324786901474, 0.5037727952003479]"
,"He plans to propose with his late mother's ring, which he loses and later retrieves using a metal detector.",,neutral,"[0.05215831845998764, 0.7673110961914062, 0.1805306375026703]"
,It features surreal elements—Anthony hears a mysterious voice in the fields and confesses that he believes he is a honeybee.,,neutral,"[0.11235067993402481, 0.8260180354118347, 0.061631251126527786]"
,"It symbolizes transformation and destiny, linking Rosemary’s identity with her past and uniting the community in the finale.",,neutral,"[0.021081211045384407, 0.740766704082489, 0.2381521761417389]"
,Words on Bathroom Walls,,neutral,"[0.05708998814225197, 0.5241915583610535, 0.4187183976173401]"
,Words on Bathroom Walls,,neutral,"[0.05708998814225197, 0.5241915583610535, 0.4187183976173401]"
,Thor Freudenthal,,neutral,"[0.2098933458328247, 0.41813942790031433, 0.3719671368598938]"
,Charlie Plummer,,neutral,"[0.24918513000011444, 0.4372977614402771, 0.3135170042514801]"
,Cooking,,entailment,"[0.020706817507743835, 0.25143739581108093, 0.7278558015823364]"
,Muscle twitching,,entailment,"[0.0223956648260355, 0.40689992904663086, 0.5707044005393982]"
,"He experiences mood imbalances and a return of delusions, is suspended and takes an overdose at prom, which leads to expulsion and placement in a psych ward before he later reconciles with his family.",,neutral,"[0.046431832015514374, 0.8908389210700989, 0.06272915750741959]"
,It is a 2020 American gothic supernatural horror film.,,neutral,"[0.06560304015874863, 0.7368119359016418, 0.1975850760936737]"
,Floria Sigismondi.,,entailment,"[0.09066209942102432, 0.4169996380805969, 0.49233826994895935]"
,"Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, and Joely Richardson.",,entailment,"[0.13296642899513245, 0.4034038186073303, 0.46362975239753723]"
,The Turn of the Screw by Henry James.,,neutral,"[0.06876983493566513, 0.4889181852340698, 0.44231200218200684]"
,"At Killruddery House in County Wicklow, Ireland.",,neutral,"[0.060144033282995224, 0.5949074625968933, 0.34494853019714355]"
,"It grossed $19.4 million worldwide against a $14 million budget, making it a box office disappointment.",,neutral,"[0.0522344596683979, 0.7261497378349304, 0.22161580622196198]"
,It follows a young boy named Peter who declares war on his grandfather to reclaim his room.,,neutral,"[0.04053719714283943, 0.6335316896438599, 0.3259311616420746]"
,Tim Hill.,,contradiction,"[0.43661636114120483, 0.33198022842407227, 0.23140345513820648]"
,Robert De Niro and Uma Thurman.,,entailment,"[0.12920938432216644, 0.39507701992988586, 0.4757136106491089]"
,Peter is upset about losing his room when his grandfather moves in.,,neutral,"[0.026273269206285477, 0.6496933102607727, 0.3240334093570709]"
,"The film's release was delayed several times due to photography changes and the closure of The Weinstein Company, eventually releasing on October 9, 2020.",,neutral,"[0.013078324496746063, 0.8091269135475159, 0.17779478430747986]"
,It grossed $43 million worldwide against a production budget of $38 million.,,neutral,"[0.03193693980574608, 0.6867526173591614, 0.28131046891212463]"
,It is a 2020 American sports drama film.,,neutral,"[0.034893736243247986, 0.8654325008392334, 0.09967369586229324]"
