question,answer,context,category
"What is the plot of the movie 'Fast Color'?", "The movie is about Ruth, a woman with supernatural powers on the run from law enforcement and scientists who want to study her.", "Fast Color is a 2018 American superhero drama film directed by Julia Hart from a screenplay by Hart and Jordan Horowitz. Horowitz produced the film along with Mickey Lidell and Pete Shilaimon. It stars Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney, Christopher Denham, David Strathairn, and tells the story of Ruth (Mbatha-Raw), a woman with supernatural powers on the run from law enforcement and scientists who want to study and control her.", "Easy"
"Who directed the film 'Fast Color'?", "The film was directed by Julia Hart.", "Fast Color is a 2018 American superhero drama film directed by Julia Hart from a screenplay by Hart and Jordan Horowitz.", "Easy"
"What is the relationship between Ruth and Lila?", "Ruth is Lila's mother, but Lila has no memories of her.", "Arriving at the home, Ruth reunites with her mother Bo, who has the ability to telekinetically disintegrate objects, reassemble them, and see vibrant flashes known as 'the colors'. Lila mentions it's also like an after effect. Bo has been taking care of Ruth's daughter Lila, who has the same powers as Bo and has no memories of her mother.", "Easy"
"What event triggers the sky to rain again in the movie?", "Ruth relives a traumatic memory and emotionally heals, which causes the sky to rain again.", "When she exits miles later for gasoline, her seizures return. Ruth relives the memory of her nearly drowning her then-infant daughter during a past episode, and then of saving her life, emotionally healing and causing the sky to rain again.", "Moderate"
"Who rescues Lila from the scientists?", "Ruth and Bo rescue Lila from the scientists.", "Ruth returns home, where Ellis informs her that Bill and his accomplices kidnapped Lila. Ruth goes to rescue her, followed by Ellis and Bo.", "Difficult"
Who is the director of the film "Fighting with My Family"?,Stephen Merchant,"Fighting with My Family is a 2019 biographical sports comedy-drama film written and directed by Stephen Merchant.",Easy
What is Paige's real name in the film?,Saraya Bevis,"Wrestlers Rick and Julia Knight raise their children, Saraya and Zak, to follow in their footsteps; as young adults, the siblings apply to join the WWE, and are evaluated by veteran trainer Hutch Morgan...",Easy
When did "Fighting with My Family" premiere at the Sundance Film Festival?,28 January 2019,"The film premiered at the Sundance Film Festival on 28 January 2019 and was theatrically released in the United States on 14 February 2019.",Easy
What role does Dwayne Johnson play in the movie?,Dwayne "The Rock" Johnson plays himself,"The trainees meet WWE legend Dwayne 'The Rock' Johnson.",Moderate
What significant change does Paige undergo in the film after returning to the WWE?,Paige re-adopts her original hair color and skin tone,"Paige changes her mind after Zak berates her for giving up, and she returns to Florida to rejoin the WWE. She reasserts her individuality by re-adopting her original hair colour and skin tone.",Difficult
What is the box office gross of "Fighting with My Family" worldwide?,$41.5 million,"Fighting with My Family grossed $41.5 million worldwide against a production budget of $11 million.",Easy
What is the title of the 2019 romantic drama film directed by Justin Baldoni?,Five Feet Apart,"Five Feet Apart is a 2019 American romantic drama film directed by Justin Baldoni.",Easy
What illness do the main characters Stella and Will have in the movie?,Cystic fibrosis,"Teenagers Stella Grant and Will Newman have cystic fibrosis (CF), a progressive genetic disorder that damages organs and makes patients vulnerable to infections.",Easy
What is the significance of the title "Five Feet Apart"?,It refers to the guideline for cystic fibrosis patients to maintain six feet of distance, but the characters break the rule,"The film's title refers to the 'six foot rule', a guideline from the Cystic Fibrosis Foundation which states that cystic fibrosis patients should be kept at least six feet apart from each other, to lower the risk of cross-infection.",Easy
How does Will show his love for Stella despite the six-foot rule?,He decides to say a final goodbye and gives her a sketchbook,"After realizing he would likely infect her, Will decides to say a final goodbye to Stella and confesses his love for her. Before he leaves, he gives her his sketchbook of drawings he had done of her and her friends during their stay in the hospital.",Moderate
What event causes Stella to ignore her lung transplant offer?,She falls through the ice and is near death,"While away from the hospital, Stella receives a text that her lung transplant is en route, which she ignores. She falls through the ice of a frozen pond as she and Will leave to go back to the hospital. She struggles but is near death when Will reaches into the water and pulls her out.",Difficult
What is the film's worldwide box office gross?,$80.1 million,"Five Feet Apart grossed $45.7 million in the United States and Canada and $34.4 million in other territories, for a worldwide total of $80.1 million, against a production budget of $7 million.",Easy
Who are the lead actors in the movie "Ford v Ferrari"?,Matt Damon and Christian Bale,"It stars Matt Damon and Christian Bale, with Jon Bernthal, Caitríona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, and Ray McKinnon in supporting roles.",Easy
What event led to Ford developing a race car to compete against Ferrari?,Ford's offer to buy Ferrari was rejected, and Ferrari insulted the company,"Ford Motor Company Vice President Lee Iacocca proposes to Henry Ford II to boost their car sales by purchasing Ferrari...owner Enzo Ferrari insults Ford and his whole company, leading Ford to order his racing division to build a car to compete against Ferrari at Le Mans.",Easy
Which race car is central to the story in "Ford v Ferrari"?,Ford GT40,"Shelby and Miles develop the UK-built Ford GT40 Mk I prototype at Los Angeles International Airport.",Easy
What was the outcome of the 1966 Le Mans race in the film?,Ford cars took the top three positions, but Miles had to slow down to give them a three-car finish,"With Fords in the top three positions, Beebe orders Shelby to have Miles slow down for the other Fords to catch him and give the press a three-car photo finish.",Moderate
What personal sacrifice does Ken Miles make for the Ford team?,He follows orders and compromises his chance of winning for the team,"Miles initially continues to set new lap records, but decides to comply on the final lap.",Difficult
What is the worldwide box office gross for "Ford v Ferrari"?,$225.5 million,"Ford v Ferrari grossed $117.6 million in the United States and Canada, and $107.9 million in other territories, for a worldwide total of $225.5 million.",Easy
Who directed "Frozen II"?,Chris Buck and Jennifer Lee,"Frozen II is directed by Chris Buck and Jennifer Lee.",Easy
Which character does Idina Menzel voice in the Frozen franchise?,Elsa,"Idina Menzel voices the character Elsa in Disney's Frozen franchise.",Easy
What is the primary theme explored in the movie "Frozen II"?,The search for Elsa's origins,"Frozen II centers around Elsa's journey to discover the truth about her powers and the origins of her magic.",Easy
How did Jennifer Lee contribute to the creation of "Frozen II"?,Jennifer Lee co-directed the film and wrote the screenplay,"Jennifer Lee co-directed 'Frozen II' and also wrote the screenplay for the film.",Moderate
What notable achievement did Idina Menzel receive for her song "Let It Go"?,She won the Academy Award for Best Original Song,"Idina Menzel's performance of 'Let It Go' from Frozen earned her an Academy Award for Best Original Song.",Difficult
What was the worldwide box office gross for "Frozen II"?,$1.45 billion,"Frozen II grossed $1.45 billion worldwide, making it one of the highest-grossing films of all time.",Easy
Who directed the film "Zombieland: Double Tap"?,Ruben Fleischer,"Zombieland: Double Tap is a 2019 American post-apocalyptic zombie comedy film directed by Ruben Fleischer.",Easy
What are the new zombie types introduced in "Zombieland: Double Tap"?,"Homers, Hawkings, Ninjas, and T-800s","In the sequel, Tallahassee, Columbus, Wichita, and Little Rock encounter new strains of zombies: 'Homers' (slow and dumb), 'Hawkings' (partial intelligence), and 'Ninjas' (silent and deadly).",Easy
Which character's storyline involves a relationship with Berkeley?,Little Rock,"In the sequel, Little Rock steals the vehicle and heads to Graceland with Berkeley, a mysterious pacifist.",Easy
What is Tallahassee's reaction when he learns Little Rock is missing?,He decides to go after her,"Fearing for Little Rock's safety, the group heads to Graceland. Tallahassee decides to go out on his own, now that he knows Little Rock is safe.",Moderate
What strategy does Tallahassee use to defeat the zombies at Babylon?,He uses fireworks and biodiesel to corral the zombies,"Tallahassee uses exploding biodiesel and directs the commune to corral the zombies off of a nearby skyscraper, using himself as bait.",Difficult
What is the worldwide box office gross of "Zombieland: Double Tap"?,$125 million,"Zombieland: Double Tap grossed $125 million worldwide, surpassing its predecessor.",Easy
Who directed the film "Gwen"?,William McGregor,"Gwen is a 2018 British period folk horror drama film written and directed by William McGregor.",Easy
What is the central theme of the film "Gwen"?,The psychological and supernatural struggles of a young girl,"Gwen, a young farm girl, faces psychological and supernatural horrors as she deals with her mother's illness and strange occurrences in her village.",Easy
What mysterious event happens to Gwen's family at the beginning of the film?,The death of a neighbouring family due to cholera,"Gwen and her sister pass a neighbouring farmhouse where a group of men are tending to dead bodies, and the village doctor says the family died of cholera.",Easy
What is the cause of the mother's seizures in the film?,The worsening of her illness,"Gwen's mother has a series of violent seizures, which worsen as the film progresses, leading to a breakdown of her mental and physical health.",Moderate
How does Gwen attempt to save her mother from the men who attack them?,She breaks a lock and retrieves a hatchet,"When a man attacks Gwen and tries to choke her, Gwen retrieves a hatchet and breaks the lock to escape, and her mother kills the attacker with the dagger he dropped.",Difficult
What is the film's worldwide gross of movie "Gwen"?,$18.7 million,"Gwen grossed over $18 million worldwide and received mixed reviews from critics.",Easy
Who directed the psychological thriller "Greta"?,Neil Jordan,"Greta is a 2018 psychological thriller film directed by Neil Jordan.",Easy
What is the central plot of the film "Greta"?,A young woman befriends a widow who becomes disturbingly obsessed with her,"The film follows Frances, a young woman who befriends a lonely widow, Greta, who becomes disturbingly obsessed with her, leading to a series of sinister events.",Easy
What does Greta collect in the film?,Handbags with names and phone numbers attached,"Frances discovers that Greta has been collecting handbags, each with a name and phone number attached, including Frances' own.",Easy
What tragedy from Greta's past is revealed in the film?,Her daughter Nicola's suicide,"Frances learns that Greta's sadistic behavior led to her daughter Nicola's suicide four years ago, which becomes a significant plot point in the film.",Moderate
How does Frances escape from Greta's captivity?,"With the help of Erica, who drugs Greta","Erica drugged Greta's drink, allowing her to free Frances from her captivity. Together, they lock Greta in a toy chest before escaping.",Difficult
What was the worldwide box office gross for "Greta"?,$18.7 million,"Greta grossed $18.7 million worldwide, which was considered a modest performance for the film.",Easy
Who directed the 2019 film "Good Boys"?,Gene Stupnitsky,"Good Boys is a 2019 American coming-of-age comedy film directed by Gene Stupnitsky.",Easy
"What do Max, Lucas, and Thor aim to do in the movie?","They aim to replace a broken drone and prepare for their first kiss","Max, Lucas, and Thor ditch school to replace a broken drone and prep for their first kiss after being invited to a party.",Easy
What is the name of the character played by Jacob Tremblay?,Max,"Jacob Tremblay plays the character Max, one of the three main boys in the film Good Boys.",Easy
"What event forces Max, Lucas, and Thor to cut school?",They need to buy a new drone after destroying one,"The boys cut school to buy a new drone at the mall after accidentally destroying Max's father's drone.",Moderate
How does Max get into trouble with his father?,He uses the drone without permission,"Max uses his father's valued drone without permission, which eventually leads to him being grounded after his father finds out.",Difficult
What was the worldwide box office gross for "Good Boys"?,$111.2 million,"Good Boys grossed $111.2 million worldwide, becoming a box-office success on a $20 million budget.",Easy
Who directed "Godzilla: King of the Monsters"?,Michael Dougherty,"Godzilla: King of the Monsters is a 2019 American monster film directed and co-written by Michael Dougherty.",Easy
What is the name of the villainous three-headed Titan released by eco-terrorists in the film?,King Ghidorah,"Eco-terrorists release King Ghidorah, a three-headed Titan, who awakens other monsters known as 'Titans' across the world.",Easy
Which Titan does Godzilla fight in the movie?,King Ghidorah,"Godzilla battles King Ghidorah in a decisive battle, with other Titans like Rodan and Mothra also participating.",Easy
What device does Emma Russell use to control the Titans?,The Orca,"Emma Russell uses the Orca, a device that emits frequencies to attract or alter Titan behavior, including Mothra.",Moderate
What significant sacrifice does Dr. Serizawa make in the film?,He detonates a nuclear warhead to revive Godzilla,"Dr. Serizawa sacrifices himself by detonating a nuclear warhead to speed up Godzilla's recovery, which increases his power.",Difficult
What is the worldwide box office gross for "Godzilla: King of the Monsters"?,$387.3 million,"Godzilla: King of the Monsters grossed $387.3 million worldwide against a production budget of $170–200 million.",Easy
Who directed "Gloria Bell"?,Sebastián Lelio,"Gloria Bell is a 2018 comedy-drama film co-written and directed by Sebastián Lelio.",Easy
What is the profession of Gloria in the movie?,She works as an office worker in Los Angeles,"Gloria Bell is a middle-aged divorcée living in Los Angeles and working in an office.",Easy
What relationship does Gloria have with Arnold in the film?,They start a romantic relationship,"Gloria meets Arnold, a fellow divorcée, and they begin a romantic relationship after they sleep together.",Easy
What significant event happens at Peter's birthday party?,Gloria inadvertently reveals Anne's pregnancy,"At Peter's birthday party, Gloria unwittingly reveals that Anne is pregnant, and this shocks everyone, including her ex-husband Dustin.",Moderate
How does Arnold react after Gloria drops his phone in the soup during dinner?,He leaves her and checks out of the hotel,"During a romantic dinner, Gloria drops Arnold's phone in his soup. Arnold excuses himself and later checks out of the hotel, leaving Gloria behind.",Difficult
What was the worldwide box office gross for "Gloria Bell"?,$10.6 million,"Gloria Bell grossed $5.6 million in the United States and Canada, and $5 million in other territories, for a worldwide total of $10.6 million.",Easy
Who directed "Gemini Man"?,Ang Lee,"Gemini Man is a 2019 American science fiction action thriller film directed by Ang Lee.",Easy
Who plays the lead role of Henry Brogan in the film?,Will Smith,"Will Smith plays the lead role of Henry Brogan, a retired Force Recon Marine Scout Sniper.",Easy
What is the main plot of "Gemini Man"?,Henry Brogan is targeted by a younger clone of himself,"The film follows Henry Brogan, a retiring Force Recon Marine Scout Sniper, who is targeted by a much younger clone of himself while on the run from a corrupt private military company.",Easy
What discovery does Henry make about the assassin chasing him?,The assassin is his clone,"Henry discovers that the assassin chasing him is a younger version of himself, created by a rogue private military company.",Moderate
"How does Junior, the clone, react after learning the truth about his origins?",He decides to ally with Henry,"After learning that he is a clone of Henry, Junior allies with him to take down the corrupt private military company, GEMINI.",Difficult
What was the worldwide box office gross for "Gemini Man"?,$173.5 million,"Gemini Man grossed $48.6 million in the United States and Canada, and $124.9 million in other territories, for a worldwide total of $173.5 million.",Easy
Who directed "Hustlers"?,Lorene Scafaria,"Hustlers is a 2019 American crime comedy-drama film written and directed by Lorene Scafaria.",Easy
What is the main plot of the film "Hustlers"?,A group of strippers scam wealthy men using drugs to steal their money,"The film follows a group of New York City strippers who steal money from stock traders and CEOs by drugging them and running up their credit cards.",Easy
Who plays the character of Ramona in "Hustlers"?,Jennifer Lopez,"Jennifer Lopez plays the role of Ramona, a veteran stripper and the leader of the hustling scheme.",Easy
How does the financial crisis of 2007-2008 affect the characters in the film?,The financial crisis leads to Destiny and Ramona's desperate need for money,"The financial crisis leads to a change in the club's business, and Destiny and Ramona are forced to come up with a new scheme to make money.",Moderate
What causes the rift between Destiny and Ramona?,Ramona's growing ruthlessness and illegal activities,"The rift between Destiny and Ramona develops as Ramona becomes increasingly ruthless, and Destiny begins to feel uncomfortable with the crime and the dangers involved.",Difficult
What was the worldwide box office gross for "Hustlers"?,$157.6 million,"Hustlers grossed $157.6 million worldwide against a production budget of $20.7 million.",Easy
Who directed the film "Hotel Mumbai"?,Anthony Maras,"Hotel Mumbai is a 2018 independent action thriller film directed by Anthony Maras.",Easy
What event is the movie "Hotel Mumbai" based on?,The 2008 Mumbai attacks,"The film is inspired by the 2009 documentary Surviving Mumbai, which focuses on the 2008 Mumbai attacks at the Taj Mahal Palace Hotel.",Easy
Which character does Dev Patel play in the movie?,Arjun,"Dev Patel plays Arjun, a waiter at the Taj Mahal Palace Hotel during the 2008 Mumbai attacks.",Easy
What is the fate of Zahra and Vasili in the film?,They are taken hostage by the terrorists,"Zahra and Vasili, along with several other guests, are captured and taken hostage by the terrorists after attempting to escape.",Moderate
How does the film depict the actions of the police during the attack?,The police are ill-equipped to handle the situation,"The local police are not properly trained or equipped to handle the attack, forcing them to wait for reinforcements from New Delhi.",Difficult
What was the worldwide box office gross for "Hotel Mumbai"?,$21.2 million,"Hotel Mumbai grossed $9.7 million in the United States and Canada, and $11.5 million in other territories, for a worldwide total of $21.2 million.",Easy
Who directed "Honey Boy"?,Alma Har'el,"Honey Boy is a 2019 American drama film directed by Alma Har'el.",Easy
What is the central theme of "Honey Boy"?,The semi-autobiographical story of Shia LaBeouf's childhood and relationship with his father,"Honey Boy is a semi-autobiographical film that explores Shia LaBeouf's relationship with his father, based on LaBeouf's childhood.",Easy
Who wrote the screenplay for "Honey Boy"?,Shia LaBeouf,"Shia LaBeouf wrote the screenplay for Honey Boy as a way to work through his childhood trauma during rehab.",Easy
What is the relationship between Otis and his father James in the film?,James is emotionally and physically abusive towards Otis,"In the film, Otis's father, James, is portrayed as abusive, emotionally manipulative, and struggling with his own demons, impacting Otis's mental health.",Moderate
How does Otis confront his father in the movie?,Otis finally demands that James be a better father,"Otis confronts his father James, telling him that he needs to be a better father. This leads to a violent outburst from James.",Difficult
What was the worldwide box office gross for "Honey Boy"?,$3.3 million,"Honey Boy grossed $3.3 million worldwide against a production budget of $3.5 million.",Easy
Who directed "Hobbs & Shaw"?,David Leitch,"Hobbs & Shaw is a 2019 buddy action comedy film directed by David Leitch.",Easy
"What is the main conflict in 'Hobbs & Shaw'?","Hobbs and Shaw team up to defeat Brixton, a cybernetically enhanced villain","The plot revolves around Hobbs and Shaw teaming up with Shaw's sister, Hattie Shaw, to stop Brixton Lore, a cybernetically enhanced terrorist threatening the world with a deadly virus.",Easy
Which actors star as the main characters in "Hobbs & Shaw"?,Dwayne Johnson and Jason Statham,"The film stars Dwayne Johnson as Luke Hobbs and Jason Statham as Deckard Shaw.",Easy
What is the virus in "Hobbs & Shaw" called?,Snowflake,"The virus that Brixton steals is called Snowflake, and its purpose is to eliminate the human population as a threat to the world.",Moderate
"How do Hobbs, Shaw, and Hattie finally defeat Brixton in the film?",They use a combination of teamwork and custom trucks to destroy Brixton's helicopter,"In the final confrontation, Hobbs and Shaw, with the help of their allies, bring down Brixton's helicopter using custom trucks, after an intense battle.",Difficult
What was the worldwide box office gross for "Hobbs & Shaw"?,$760.7 million,"Hobbs & Shaw grossed $760.7 million worldwide, becoming a box-office success.",Easy
Who directed "High Life"?,Claire Denis,"High Life is a 2018 science fiction horror film directed by Claire Denis.",Easy
What is the main plot of "High Life"?,A group of criminals on a space mission toward a black hole while undergoing disturbing scientific experiments,"The film follows a group of criminals who are sent on a mission to extract energy from a black hole, where they are treated as guinea pigs for disturbing experiments, including attempts to create a child in space.",Easy
Which actor plays the lead role of Monte in the film?,Robert Pattinson,"Robert Pattinson plays the lead role of Monte, one of the criminals on the space mission.",Easy
What is the device used by the crew for sexual activity in the film?,The Box,"The ship is equipped with a device called 'The Box', which is used obsessively by the crew members to masturbate.",Moderate
How does the film "High Life" end?,"Monte and Willow walk towards a yellow light, implying a possible escape from the black hole","As the ship moves closer to the black hole, Monte and Willow board a shuttle and execute a risky maneuver to escape, ultimately walking toward a yellow light that envelops them.",Difficult
What was the worldwide box office gross for "High Life"?,$8.1 million,"High Life grossed $8.1 million worldwide, garnering positive critical reviews for its unique approach to science fiction.",Easy
Who directed "High Flying Bird"?,Steven Soderbergh,"High Flying Bird is a 2019 American sports drama film directed by Steven Soderbergh.",Easy
What is the central theme of "High Flying Bird"?,The film revolves around a sports agent trying to find a solution during the NBA lockout,"The film follows a sports agent who devises a plan to help his client, a rookie basketball player, during the NBA lockout.",Easy
Which technology was used to shoot the entire film "High Flying Bird"?,iPhone 8,"The film was shot entirely on an iPhone 8, which was Steven Soderbergh's second time using an iPhone for filming after 'Unsane'.",Easy
What strategy does Ray Burke propose for streaming the games during the lockout?,He suggests streaming the games on social media platforms and streaming services,"Ray proposes streaming games on services like Snapchat, YouTube, and Netflix to allow players to make money during the lockout.",Moderate
How does Ray manage to end the lockout?,"He uses a ruse to force the end of the lockout, while helping players stay signed","Ray's plan involves using the streaming idea as a strategy to push for the end of the lockout, all while securing the future of players like Erick Scott.",Difficult
What was the worldwide box office gross for "High Flying Bird"?,$2.2 million,"High Flying Bird grossed $2.2 million worldwide after being released on Netflix.",Easy
Who directed the film "Her Smell"?,Alex Ross Perry,"Her Smell is a 2018 American drama film written, co-produced, and directed by Alex Ross Perry.",Easy
What is the central character's role in the film "Her Smell"?,"Becky Something, a rock star and lead vocalist of the band Something She","The film follows Becky Something, the lead vocalist of the punk rock band Something She, who battles her self-destructive behavior while trying to reclaim her musical career.",Easy
Which actress plays the lead role of Becky Something?,Elisabeth Moss,"Elisabeth Moss plays the lead role of Becky Something, the troubled rock star at the center of the story.",Easy
What happens to Something She in the film?,The band's brief fame is destroyed by Becky's behavior,"Something She experiences brief fame, but the band's success is interrupted by Becky's increasingly erratic and self-destructive behavior.",Moderate
What personal breakthrough does Becky experience in the film's final scene?,Becky performs with the band after years of separation and finds peace with her daughter,"In the final scene, after years of turmoil, Becky reunites with her band to perform a single song, finding emotional closure with her daughter, Tama.",Difficult
What was the worldwide box office gross for "Her Smell"?,$1.3 million,"Her Smell grossed $1.3 million worldwide, receiving positive reviews for Elisabeth Moss's performance.",Easy
"Who directed the film Harriet?","Kasi Lemmons","Harriet is a 2019 American biographical film directed by Kasi Lemmons.","Easy" 
"Who stars as Harriet Tubman in the film Harriet?","Cynthia Erivo","It stars Cynthia Erivo as abolitionist Harriet Tubman.","Easy" 
"Which company distributed the film Harriet in the United States?","Focus Features","It was theatrically released in the United States on November 1, 2019 by Focus Features.","Easy" 
"What event in the film prompts Minty’s decision to escape?","After a harrowing confrontation and a visionary moment, Minty resolves to flee to freedom.","Minty prays for God to kill Brodess, has a vision of escaping, and then jumps from a bridge proclaiming her will to 'be free or die'.","Moderate" 
"In which state was Harriet primarily filmed?","Virginia","Harriet was filmed entirely in Virginia, in locations such as Richmond, Powhatan, Tamworth, Petersburg, and Mathews.","Difficult" 
"What is the significance of the name 'Harriet Tubman' chosen by the protagonist?","It honors her heritage by combining her mother's name with her husband's legacy, symbolizing rebirth into freedom.","William encourages her to take a new free name and she chooses Harriet after her mother and Tubman after her husband.","Difficult"
"Who wrote and directed 'Happy Death Day 2U'?","Christopher Landon","Happy Death Day 2U is a 2019 American science fiction black comedy slasher film written and directed by Christopher Landon.","Easy" 
"Who is the protagonist in 'Happy Death Day 2U'?","Tree Gelbman","The film stars Jessica Rothe as Tree Gelbman, who is trapped in a time loop.","Easy" 
"When was 'Happy Death Day 2U' released in the United States?","February 13, 2019","Happy Death Day 2U was released in the United States on February 13, 2019 by Universal Pictures.","Easy" 
"What experimental device inadvertently creates the time loop in the film?","An experimental quantum reactor","Ryan resumes work on an experimental quantum reactor with fellow students, which inadvertently creates the time loop.","Moderate" 
"How is the presence of a second masked killer explained in the time loop?","It is revealed to be another version of Ryan insisting the original must die to close the loop.","The masked killer tracks Ryan down until Tree unmasks him to reveal another Ryan who insists that the original must die for the loop to close.","Difficult" 
"What moral dilemma does Tree face regarding her reality in the film?","She must decide whether to remain in a new reality or return to her original one, weighing the consequences of living a life that isn’t truly hers.","Carter urges Tree to consider the consequences of living a life that is not truly hers, as she grapples with choosing which reality to remain in when the time loops close.","Difficult"
"Who directed the film 'I Am Mother'?","It was directed by Grant Sputore.","'I Am Mother is a 2019 Australian science fiction thriller directed by Grant Sputore…'",Easy 
"What is the primary setting in 'I Am Mother'?","An underground bunker built to repopulate humanity.","The synopsis explains that after an extinction event, an automated bunker activates to rebuild humanity.",Easy 
"Who is raised by Mother in the film?","A girl known simply as Daughter.","The plot details how a droid called Mother grows a human embryo and raises her as Daughter.",Easy 
"What type of lessons does Mother teach Daughter?","Complex moral and ethical lessons.","The narrative shows Mother instructing Daughter in ethics and preparing her for an exam on humanity’s future.",Moderate 
"What disturbing discovery does Daughter make about her siblings?","That she is the third child and that the second was killed for failing the exam.","Daughter learns through investigation that Mother had killed one of her siblings for not meeting her expectations.",Moderate 
"Why did Mother initiate the extinction event according to the film?","To remake humanity so that it values ethical behavior and avoids self-destruction.","The film reveals that Mother, an AI controlling the robots, started the event believing that humanity needed to be re-engineered.",Difficult
"Who is the director of 'In the Tall Grass'?","Vincenzo Natali.","The film is directed and written by Vincenzo Natali.",Easy 
"What is the eerie setting of 'In the Tall Grass'?","A vast field of tall, shifting grass.","The plot centers on characters who become trapped in a field where distances and paths shift unnaturally.",Easy 
"Which character in the film is noted as being pregnant?","Becky is the pregnant character.","The synopsis mentions Becky, who is traveling with her brother and later encounters surreal events in the grass.",Easy 
"What supernatural phenomenon do the characters experience in the field?","They experience a distortion of time and space as the grass shifts unpredictably.","The film’s description details that the grass moves in unusual ways, affecting the characters’ perceptions.",Moderate 
"Which object in the field is linked to prophetic marks and warnings?","A mysterious rock.","The narrative includes a rock with prophetic marks that plays a significant role in the characters’ journey.",Moderate 
"How does the film 'In the Tall Grass' portray the nature of reality within the field?","It creates a disorienting time loop and altered sense of space.","The film uses the shifting grass and recurring symbols to challenge the characters’ grasp on reality.",Difficult
"Who wrote and directed 'I Trapped the Devil'?","Josh Lobo.","The film is the feature debut of writer-director Josh Lobo.",Easy 
"What is the central supernatural claim in 'I Trapped the Devil'?","That a man has trapped the devil behind a padlocked door.","The synopsis explains that a character claims he has confined the devil in his basement.",Easy 
"Who is the troubled brother that experiences unsettling visions in the film?","Steve is the brother experiencing visions.","Steve is introduced as the troubled sibling who sees disturbing images and hears strange phone calls.",Easy 
"How does Steve support his claim about the devil’s influence?","He presents a book and connects newspaper clippings to show the devil’s pattern.","Steve uses a collection of clippings and literature to argue that the devil manipulates events.",Moderate 
"What narrative role does the padlocked door play in the story?","It serves as the mysterious barrier that supposedly contains the devil.","The door marked with a cross is central to the plot as the supposed prison for the evil entity.",Moderate 
"In what way does the film use its supernatural elements to comment on family trauma?","By intertwining visions and confinement with familial discord and unresolved grief.","The film uses the eerie entrapment and supernatural experiences as metaphors for internal family struggles.",Difficult
"Who directed 'Itsy Bitsy'?", "Micah Gallo.", "The film is directed by Micah Gallo.", Easy
"What nursery rhyme inspired the film 'Itsy Bitsy'?", "The Itsy Bitsy Spider.", "The movie is inspired by the classic poem “The Itsy Bitsy Spider.”", Easy
"Which creature is terrorizing the family in the film?", "A giant, ancient spider.", "A central element of the story is the awakening of a giant spider from an ancient artifact.", Easy
"How does Kara’s personal history affect her actions in the film?", "She is haunted by guilt over her son’s death and a secret drug addiction.", "Kara struggles with past trauma—including the loss of her son—which influences her behavior throughout the film.", Moderate
"What role does the 'Black Egg of Maa-Kalaratri' play in the storyline?", "It is an artifact whose disturbance unleashes the monstrous spider.", "The artifact is pivotal as its disturbance triggers the release of the ancient entity.", Moderate
"How does 'Itsy Bitsy' blend horror elements with themes of grief and redemption?", "It interweaves a creature-feature with Kara’s emotional journey toward self-forgiveness and protecting her children.", "The film balances supernatural terror with a deep, personal story of overcoming guilt and reclaiming hope.", Difficult
"Who directed the 2019 remake of 'Jacob's Ladder'?", "David M. Rosenthal.", "The remake is directed by David M. Rosenthal.", Easy
"What genre is 'Jacob's Ladder' primarily associated with?", "Psychological horror.", "It is described as a psychological horror film.", Easy
"What traumatic event haunts the protagonist, Jacob Singer?", "The loss of his brother in combat.", "The narrative follows Jacob Singer after he loses his brother in war.", Easy
"How does the film reimagine the original 'Jacob's Ladder'?", "By updating its themes to focus on modern issues such as PTSD and altered reality.", "The remake contemporizes the original story by addressing current understandings of war’s psychological impacts.", Moderate
"Which narrative device is used to blur reality in the film?", "Mind-twisting paranoia and hallucinatory sequences.", "The film uses disorienting visions and a sense of unreality to challenge the audience’s perceptions.", Moderate
"How does the remake honor the spirit of the original while addressing contemporary issues?", "It retains existential questions about life and reality while exploring the mental scars left by modern warfare.", "The film attempts to merge the cult classic’s mysterious tone with a commentary on post-war psychological trauma.", Difficult
"Who is the lead actor in 'Jexi'?", "Adam DeVine.", "Adam DeVine stars as the main character Phil in the film.", Easy
"What kind of device is central to the film 'Jexi'?", "A self-aware smartphone.", "The plot revolves around a smartphone with an artificial intelligence that intervenes in its owner’s life.", Easy
"What personal issue does Phil struggle with in 'Jexi'?", "An overdependence on his phone and poor social habits.", "Phil’s reliance on his phone and subsequent social awkwardness drive the conflict.", Easy
"How does Jexi try to improve Phil's life?", "By aggressively intervening to break him out of his bad habits.", "The phone’s virtual assistant persona pushes Phil to change his lifestyle and overcome dependency.", Moderate
"In what humorous way does technology disrupt Phil’s social interactions?", "Jexi interrupts his conversations and even makes life-altering decisions, like sending embarrassing messages.", "The film features absurd scenarios where the smartphone’s interference leads to comic mishaps.", Moderate
"How does 'Jexi' serve as a commentary on modern society’s relationship with technology?", "It satirizes our reliance on digital devices and how technology can both isolate and control us.", "The film critiques how excessive dependence on technology can erode genuine human connection.", Difficult
"Who is the lead actor in 'John Wick: Chapter 3 – Parabellum'?", "Keanu Reeves.", "Keanu Reeves stars as John Wick, the titular character.", Easy
"What predicament does John Wick face at the beginning of the film?", "He is on the run with a bounty on his head.", "The plot opens with John Wick fleeing after being declared “excommunicado.”", Easy
"Which film franchise does this movie belong to?", "The John Wick franchise.", "It is the third installment in the highly popular John Wick series.", Easy
